四川组播,#genre#
自贡综合,http://61.157.196.13:8888/rtp/239.94.0.169:5140
自贡文化生活,http://118.112.148.81:58888/rtp/239.94.0.178:5140
自贡文化生活,http://61.157.196.13:8888/rtp/239.94.0.178:5140
广元综合,http://118.112.148.81:58888/rtp/239.94.0.167:5140
广元综合,http://61.157.196.13:8888/rtp/239.94.0.167:5140
广元文化生活,http://118.112.148.81:58888/rtp/239.94.0.179:5140
广元文化生活,http://61.157.196.13:8888/rtp/239.94.0.179:5140
德阳新闻综合,http://118.112.148.81:58888/rtp/239.94.0.176:5140
德阳新闻综合,http://61.157.196.13:8888/rtp/239.94.0.176:5140
德阳文旅科教,http://118.112.148.81:58888/rtp/239.94.0.165:5140
德阳文旅科教,http://61.157.196.13:8888/rtp/239.94.0.165:5140
内江综合,http://118.112.148.81:58888/rtp/239.94.0.164:5140
内江综合,http://61.157.196.13:8888/rtp/239.94.0.164:5140
内江科教生活,http://118.112.148.81:58888/rtp/239.94.0.181:5140
内江科教生活,http://61.157.196.13:8888/rtp/239.94.0.181:5140
凉山综合,http://118.112.148.81:58888/rtp/239.94.0.171:5140
凉山综合,http://61.157.196.13:8888/rtp/239.94.0.171:5140
凉山彝语综合,http://118.112.148.81:58888/rtp/239.94.0.175:5140
凉山彝语综合,http://61.157.196.13:8888/rtp/239.94.0.175:5140
资阳综合,http://118.112.148.81:58888/rtp/239.94.0.183:5140
资阳综合,http://61.157.196.13:8888/rtp/239.94.0.183:5140
宜宾公共,http://118.112.148.81:58888/rtp/239.94.0.172:5140
宜宾公共,http://61.157.196.13:8888/rtp/239.94.0.172:5140
宜宾综合,http://118.112.148.81:58888/rtp/239.94.0.161:5140
宜宾综合,http://61.157.196.13:8888/rtp/239.94.0.161:5140
攀枝花综合,http://118.112.148.81:58888/rtp/239.94.0.168:5140
攀枝花综合,http://61.157.196.13:8888/rtp/239.94.0.168:5140
泸州综合,http://118.112.148.81:58888/rtp/239.94.0.163:5140
泸州综合,http://61.157.196.13:8888/rtp/239.94.0.163:5140
泸州科教生活,http://118.112.148.81:58888/rtp/239.94.0.182:5140
泸州科教生活,http://61.157.196.13:8888/rtp/239.94.0.182:5140
雅安综合,http://118.112.148.81:58888/rtp/239.94.0.166:5140
雅安综合,http://61.157.196.13:8888/rtp/239.94.0.166:5140
雅安文化生活,http://118.112.148.81:58888/rtp/239.94.0.180:5140
雅安文化生活,http://61.157.196.13:8888/rtp/239.94.0.180:5140
眉山综合,http://118.112.148.81:58888/rtp/239.94.0.170:5140
眉山综合,http://61.157.196.13:8888/rtp/239.94.0.170:5140
眉山文旅乡村,http://118.112.148.81:58888/rtp/239.94.0.174:5140
眉山文旅乡村,http://61.157.196.13:8888/rtp/239.94.0.174:5140
财富天下,http://118.112.148.81:58888/rtp/239.94.1.67:5140
财富天下,http://118.112.148.81:58888/rtp/239.94.1.42:5140
财富天下,http://61.157.196.13:8888/rtp/239.94.1.67:5140
财富天下,http://61.157.196.13:8888/rtp/239.94.1.42:5140
少儿动画,http://118.112.148.81:58888/rtp/239.94.1.33:5140
少儿动画,http://61.157.196.13:8888/rtp/239.94.1.33:5140
魅力时尚,http://118.112.148.81:58888/rtp/239.94.1.39:5140
魅力时尚,http://61.157.196.13:8888/rtp/239.94.1.39:5140
爱体育,http://118.112.148.81:58888/rtp/239.94.1.44:5140
爱体育,http://61.157.196.13:8888/rtp/239.94.1.44:5140
求索记录,http://118.112.148.81:58888/rtp/239.94.1.142:5140
求索记录,http://61.157.196.13:8888/rtp/239.94.1.142:5140
热播剧场,http://118.112.148.81:58888/rtp/239.94.1.25:5140
热播剧场,http://61.157.196.13:8888/rtp/239.94.1.25:5140
经典电影,http://118.112.148.81:58888/rtp/239.94.1.21:5140
经典电影,http://61.157.196.13:8888/rtp/239.94.1.21:5140
音乐现场,http://118.112.148.81:58888/rtp/239.94.1.36:5140
音乐现场,http://61.157.196.13:8888/rtp/239.94.1.36:5140
精彩导视,http://118.112.148.81:58888/rtp/239.94.1.63:5140
精彩导视,http://61.157.196.13:8888/rtp/239.94.1.63:5140
精彩影视,http://118.112.148.81:58888/rtp/239.94.1.172:5140
精彩影视,http://61.157.196.13:8888/rtp/239.94.1.172:5140
爱生活,http://118.112.148.81:58888/rtp/239.94.1.41:5140
爱生活,http://61.157.196.13:8888/rtp/239.94.1.41:5140
iHOT爱体育,http://118.112.148.81:58888/rtp/239.94.1.143:5140
iHOT爱体育,http://61.157.196.13:8888/rtp/239.94.1.143:5140
iHOT爱动漫,http://118.112.148.81:58888/rtp/239.94.1.141:5140
iHOT爱动漫,http://61.157.196.13:8888/rtp/239.94.1.141:5140
iHOT爱历史,http://118.112.148.81:58888/rtp/239.94.1.135:5140
iHOT爱历史,http://61.157.196.13:8888/rtp/239.94.1.135:5140
iHOT爱喜剧,http://118.112.148.81:58888/rtp/239.94.1.129:5140
iHOT爱喜剧,http://118.112.148.81:58888/rtp/239.94.2.71:5140
iHOT爱喜剧,http://61.157.196.13:8888/rtp/239.94.1.129:5140
iHOT爱喜剧,http://61.157.196.13:8888/rtp/239.94.2.71:5140
iHOT爱奇谈,http://118.112.148.81:58888/rtp/239.94.1.130:5140
iHOT爱奇谈,http://61.157.196.13:8888/rtp/239.94.1.130:5140
iHOT爱幼教,http://118.112.148.81:58888/rtp/239.94.1.139:5140
iHOT爱幼教,http://61.157.196.13:8888/rtp/239.94.1.139:5140
iHOT爱悬疑,http://118.112.148.81:58888/rtp/239.94.1.136:5140
iHOT爱悬疑,http://61.157.196.13:8888/rtp/239.94.1.136:5140
iHOT爱旅行,http://118.112.148.81:58888/rtp/239.94.1.137:5140
iHOT爱旅行,http://61.157.196.13:8888/rtp/239.94.1.137:5140
iHOT爱浪漫,http://118.112.148.81:58888/rtp/239.94.1.128:5140
iHOT爱浪漫,http://61.157.196.13:8888/rtp/239.94.1.128:5140
iHOT爱玩具,http://118.112.148.81:58888/rtp/239.94.1.140:5140
iHOT爱玩具,http://61.157.196.13:8888/rtp/239.94.1.140:5140
iHOT爱科幻,http://118.112.148.81:58888/rtp/239.94.1.131:5140
iHOT爱科幻,http://61.157.196.13:8888/rtp/239.94.1.131:5140
iHOT爱谍战,http://118.112.148.81:58888/rtp/239.94.1.134:5140
iHOT爱谍战,http://61.157.196.13:8888/rtp/239.94.1.134:5140
iHOT爱赛车,http://118.112.148.81:58888/rtp/239.94.1.144:5140
iHOT爱赛车,http://61.157.196.13:8888/rtp/239.94.1.144:5140
iHOT爱院线,http://118.112.148.81:58888/rtp/239.94.1.132:5140
iHOT爱院线,http://61.157.196.13:8888/rtp/239.94.1.132:5140
bestv,http://118.112.148.81:58888/rtp/239.94.2.57:5140
bestv,http://61.157.196.13:8888/rtp/239.94.2.57:5140
i成都,http://118.112.148.81:58888/rtp/239.94.2.1:5140
i成都,http://61.157.196.13:8888/rtp/239.94.2.1:5140
乐龄学堂,http://118.112.148.81:58888/rtp/239.94.1.155:5140
乐龄学堂,http://61.157.196.13:8888/rtp/239.94.1.155:5140
九画面15,http://118.112.148.81:58888/rtp/239.94.2.138:5140
