上海组播,#genre#
湖南卫视,http://171.124.100.84:8084/rtp/226.0.2.33:8176
湖南卫视,http://118.79.7.85:7000/rtp/226.0.2.143:9056
湖南卫视,http://118.79.7.85:7000/rtp/226.0.2.33:8176
广东卫视,http://171.124.100.84:8084/rtp/226.0.2.146:9080
广东卫视,http://171.124.100.84:8084/rtp/226.0.2.45:8272
广东卫视,http://118.79.7.85:7000/rtp/226.0.2.146:9080
广东卫视,http://118.79.7.85:7000/rtp/226.0.2.45:8272
河南卫视,http://171.124.100.84:8084/rtp/226.0.2.52:8328
河南卫视,http://171.124.100.84:8084/rtp/226.0.2.195:9472
河南卫视,http://118.79.7.85:7000/rtp/226.0.2.52:8328
河南卫视,http://118.79.7.85:7000/rtp/226.0.2.195:9472
河北卫视,http://171.124.100.84:8084/rtp/226.0.2.178:9336
河北卫视,http://171.124.100.84:8084/rtp/226.0.2.65:8432
河北卫视,http://118.79.7.85:7000/rtp/226.0.2.178:9336
河北卫视,http://118.79.7.85:7000/rtp/226.0.2.65:8432
宁夏卫视,http://171.124.100.84:8084/rtp/226.0.2.64:8424
宁夏卫视,http://118.79.7.85:7000/rtp/226.0.2.64:8424
甘肃卫视,http://171.124.100.84:8084/rtp/226.0.2.55:8352
甘肃卫视,http://118.79.7.85:7000/rtp/226.0.2.55:8352
新疆卫视,http://171.124.100.84:8084/rtp/226.0.2.67:8448
新疆卫视,http://118.79.7.85:7000/rtp/226.0.2.67:8448
西藏卫视,http://171.124.100.84:8084/rtp/226.0.2.66:8440
西藏卫视,http://118.79.7.85:7000/rtp/226.0.2.66:8440
兵团卫视,http://171.124.100.84:8084/rtp/226.0.2.62:8408
兵团卫视,http://118.79.7.85:7000/rtp/226.0.2.62:8408
金鹰卡通,http://171.124.100.84:8084/rtp/226.0.2.172:9288
金鹰卡通,http://171.124.100.84:8084/rtp/226.0.2.41:8240
金鹰卡通,http://118.79.7.85:7000/rtp/226.0.2.172:9288
金鹰卡通,http://118.79.7.85:7000/rtp/226.0.2.41:8240
哈哈炫动,http://171.124.100.84:8084/rtp/226.0.2.44:8264
哈哈炫动,http://118.79.7.85:7000/rtp/226.0.2.44:8264
卡酷少儿,http://171.124.100.84:8084/rtp/226.0.2.57:8368
卡酷少儿,http://118.79.7.85:7000/rtp/226.0.2.57:8368
山东教育卫视,http://171.124.100.84:8084/rtp/226.0.2.130:8952
山东教育卫视,http://118.79.7.85:7000/rtp/226.0.2.130:8952
北京纪实科教,http://171.124.100.84:8084/rtp/226.0.2.141:9040
北京纪实科教,http://118.79.7.85:7000/rtp/226.0.2.141:9040
东方财经,http://171.124.100.84:8084/rtp/226.0.2.76:8520
东方财经,http://118.79.7.85:7000/rtp/226.0.2.76:8520
都市剧场,http://171.124.100.84:8084/rtp/226.0.2.81:8560
都市剧场,http://118.79.7.85:7000/rtp/226.0.2.81:8560
九屏测试,http://171.124.100.84:8084/rtp/226.0.2.197:9488
九屏测试,http://118.79.7.85:7000/rtp/226.0.2.197:9488
四海钓鱼,http://171.124.100.84:8084/rtp/226.0.2.123:8896
四海钓鱼,http://118.79.7.85:7000/rtp/226.0.2.123:8896
大同教育,http://171.124.100.84:8084/rtp/226.0.2.232:9772
大同教育,http://118.79.7.85:7000/rtp/226.0.2.232:9772
金色学堂,http://171.124.100.84:8084/rtp/226.0.2.182:9368
金色学堂,http://118.79.7.85:7000/rtp/226.0.2.182:9368
CETV2,http://171.124.100.84:8084/rtp/226.0.2.69:8464
CETV2,http://118.79.7.85:7000/rtp/226.0.2.69:8464
CETV4,http://171.124.100.84:8084/rtp/226.0.2.70:8472
