内蒙古组播,#genre#
好享购物 SD,http://1.30.47.10:7000/rtp/239.125.1.219:4120
好享购物 SD,http://1.30.47.10:7000/rtp/239.125.44.2:5000
扎鲁特 SD,http://116.114.141.15:8686/rtp/239.125.1.222:4120
扎鲁特 SD,http://1.30.47.10:7000/rtp/239.125.1.222:4120
未知节目 SD,http://116.114.141.15:8686/rtp/239.125.2.195:4120
未知节目 SD,http://1.30.47.10:7000/rtp/239.125.2.195:4120
聚鲨环球 SD,http://116.114.141.15:8686/rtp/239.125.1.136:4130
聚鲨环球 SD,http://1.30.47.10:7000/rtp/239.125.1.136:4130
聚鲨精选 SD,http://116.114.141.15:8686/rtp/239.125.1.221:4120
聚鲨精选 SD,http://1.30.47.10:7000/rtp/239.125.1.221:4120
锡林郭勒 SD,http://116.114.141.15:8686/rtp/239.125.1.114:4120
锡林郭勒 SD,http://1.30.47.10:7000/rtp/239.125.1.114:4120
北京组播,#genre#
CCTV1,http://221.223.18.142:8888/rtp/239.3.1.129:8008
CCTV1,http://221.219.99.74:8005/rtp/239.3.1.129:8008
CCTV2,http://221.223.18.142:8888/rtp/239.3.1.60:8084
CCTV2,http://221.219.99.74:8005/rtp/239.3.1.60:8084
CCTV3,http://221.223.18.142:8888/rtp/239.3.1.172:8001
CCTV3,http://221.219.99.74:8005/rtp/239.3.1.172:8001
CCTV4,http://221.223.18.142:8888/rtp/239.3.1.105:8092
CCTV4,http://221.219.99.74:8005/rtp/239.3.1.105:8092
CCTV4欧洲,http://221.223.18.142:8888/rtp/239.3.1.213:4220
CCTV4欧洲,http://221.219.99.74:8005/rtp/239.3.1.213:4220
CCTV4美洲,http://221.223.18.142:8888/rtp/239.3.1.214:4220
CCTV4美洲,http://221.219.99.74:8005/rtp/239.3.1.214:4220
CCTV5,http://221.223.18.142:8888/rtp/239.3.1.173:8001
CCTV5,http://221.219.99.74:8005/rtp/239.3.1.173:8001
CCTV5+,http://221.223.18.142:8888/rtp/239.3.1.130:8004
CCTV5+,http://221.219.99.74:8005/rtp/239.3.1.130:8004
CCTV6,http://221.223.18.142:8888/rtp/239.3.1.174:8001
CCTV6,http://221.219.99.74:8005/rtp/239.3.1.174:8001
CCTV7,http://221.223.18.142:8888/rtp/239.3.1.61:8104
CCTV7,http://221.219.99.74:8005/rtp/239.3.1.61:8104
CCTV8,http://221.223.18.142:8888/rtp/239.3.1.175:8001
CCTV8,http://221.219.99.74:8005/rtp/239.3.1.175:8001
CCTV9,http://221.223.18.142:8888/rtp/239.3.1.62:8112
CCTV9,http://221.219.99.74:8005/rtp/239.3.1.62:8112
CCTV10,http://221.223.18.142:8888/rtp/239.3.1.63:8116
CCTV10,http://221.219.99.74:8005/rtp/239.3.1.63:8116
CCTV11,http://221.223.18.142:8888/rtp/239.3.1.152:8120
CCTV11,http://221.219.99.74:8005/rtp/239.3.1.152:8120
CCTV12,http://221.223.18.142:8888/rtp/239.3.1.64:8124
CCTV12,http://221.219.99.74:8005/rtp/239.3.1.64:8124
CCTV13,http://221.223.18.142:8888/rtp/239.3.1.124:8128
CCTV13,http://221.219.99.74:8005/rtp/239.3.1.124:8128
CCTV14,http://221.223.18.142:8888/rtp/239.3.1.65:8132
CCTV14,http://221.219.99.74:8005/rtp/239.3.1.65:8132
CCTV15,http://221.223.18.142:8888/rtp/239.3.1.153:8136
CCTV15,http://221.219.99.74:8005/rtp/239.3.1.153:8136
CCTV16,http://221.223.18.142:8888/rtp/239.3.1.184:8001
CCTV16,http://221.219.99.74:8005/rtp/239.3.1.184:8001
CCTV17,http://221.223.18.142:8888/rtp/239.3.1.151:8144
CCTV17,http://221.219.99.74:8005/rtp/239.3.1.151:8144
CETV1,http://221.223.18.142:8888/rtp/239.3.1.57:8152
CETV1,http://221.219.99.74:8005/rtp/239.3.1.57:8152
CETV2,http://221.223.18.142:8888/rtp/239.3.1.54:4120
CETV2,http://221.219.99.74:8005/rtp/239.3.1.54:4120
CETV4,http://221.223.18.142:8888/rtp/239.3.1.56:4120
CETV4,http://221.219.99.74:8005/rtp/239.3.1.56:4120
CGTN,http://221.223.18.142:8888/rtp/239.3.1.215:4220
CGTN,http://221.219.99.74:8005/rtp/239.3.1.215:4220
CGTN纪录,http://221.223.18.142:8888/rtp/239.3.1.216:4220
CGTN纪录,http://221.219.99.74:8005/rtp/239.3.1.216:4220
CGTN阿语,http://221.223.18.142:8888/rtp/239.3.1.219:4220
CGTN阿语,http://221.219.99.74:8005/rtp/239.3.1.219:4220
CGTN俄语,http://221.223.18.142:8888/rtp/239.3.1.220:4220
CGTN俄语,http://221.219.99.74:8005/rtp/239.3.1.220:4220
CGTN西语,http://221.223.18.142:8888/rtp/239.3.1.217:4220
CGTN西语,http://221.219.99.74:8005/rtp/239.3.1.217:4220
CGTN法语,http://221.223.18.142:8888/rtp/239.3.1.218:4220
CGTN法语,http://221.219.99.74:8005/rtp/239.3.1.218:4220
茶频道,http://221.223.18.142:8888/rtp/239.3.1.165:8001
茶频道,http://221.219.99.74:8005/rtp/239.3.1.165:8001
金鹰纪实,http://221.223.18.142:8888/rtp/239.3.1.58:8156
金鹰纪实,http://221.219.99.74:8005/rtp/239.3.1.58:8156
快乐垂钓,http://221.223.18.142:8888/rtp/239.3.1.164:8001
快乐垂钓,http://221.219.99.74:8005/rtp/239.3.1.164:8001
中国交通,http://221.223.18.142:8888/rtp/239.3.1.188:8001
中国交通,http://221.219.99.74:8005/rtp/239.3.1.188:8001
重庆卫视,http://221.223.18.142:8888/rtp/239.3.1.122:8160
重庆卫视,http://221.219.99.74:8005/rtp/239.3.1.122:8160
江苏卫视,http://221.223.18.142:8888/rtp/239.3.1.135:8028
江苏卫视,http://221.219.99.74:8005/rtp/239.3.1.135:8028
浙江卫视,http://221.223.18.142:8888/rtp/239.3.1.137:8036
浙江卫视,http://221.219.99.74:8005/rtp/239.3.1.137:8036
东方卫视,http://221.223.18.142:8888/rtp/239.3.1.136:8032
东方卫视,http://221.219.99.74:8005/rtp/239.3.1.136:8032
深圳卫视,http://221.223.18.142:8888/rtp/239.3.1.134:8020
深圳卫视,http://221.219.99.74:8005/rtp/239.3.1.134:8020
北京卫视,http://221.223.18.142:8888/rtp/239.3.1.241:8000
北京卫视,http://221.219.99.74:8005/rtp/239.3.1.241:8000
山东卫视,http://221.223.18.142:8888/rtp/239.3.1.209:8052
山东卫视,http://221.219.99.74:8005/rtp/239.3.1.209:8052
天津卫视,http://221.223.18.142:8888/rtp/239.3.1.141:1234
天津卫视,http://221.219.99.74:8005/rtp/239.3.1.141:1234
贵州卫视,http://221.223.18.142:8888/rtp/239.3.1.149:8076
贵州卫视,http://221.219.99.74:8005/rtp/239.3.1.149:8076
四川卫视,http://221.223.18.142:8888/rtp/239.3.1.29:8288
四川卫视,http://221.219.99.74:8005/rtp/239.3.1.29:8288
云南卫视,http://221.223.18.142:8888/rtp/239.3.1.26:8108
云南卫视,http://221.219.99.74:8005/rtp/239.3.1.26:8108
广西卫视,http://221.223.18.142:8888/rtp/239.3.1.39:8300
广西卫视,http://221.219.99.74:8005/rtp/239.3.1.39:8300
黑龙江卫视,http://221.223.18.142:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://221.219.99.74:8005/rtp/239.3.1.133:8016
安徽卫视,http://221.223.18.142:8888/rtp/239.3.1.211:8064
安徽卫视,http://221.219.99.74:8005/rtp/239.3.1.211:8064
山西卫视,http://221.223.18.142:8888/rtp/239.3.1.42:8172
山西卫视,http://221.219.99.74:8005/rtp/239.3.1.42:8172
