安徽组播,#genre#
霍邱新闻综合,http://60.169.112.172:8686/rtp/238.1.78.119:6824
金寨综合频道,http://124.112.241.231:4022/rtp/238.1.79.21:4280
金寨综合频道,http://60.169.112.172:8686/rtp/238.1.79.21:4280
淮南新闻综合,http://124.112.241.231:4022/rtp/238.1.78.113:6776
淮南新闻综合,http://60.169.112.172:8686/rtp/238.1.78.113:6776
淮南公共频道,http://124.112.241.231:4022/rtp/238.1.78.114:6784
淮南公共频道,http://60.169.112.172:8686/rtp/238.1.78.114:6784
寿县新闻综合,http://124.112.241.231:4022/rtp/238.1.78.146:7040
寿县新闻综合,http://60.169.112.172:8686/rtp/238.1.78.146:7040
淮北新闻综合,http://124.112.241.231:4022/rtp/238.1.78.135:6952
淮北新闻综合,http://60.169.112.172:8686/rtp/238.1.78.135:6952
淮北公共频道,http://124.112.241.231:4022/rtp/238.1.78.136:6960
淮北公共频道,http://60.169.112.172:8686/rtp/238.1.78.136:6960
淮北教育频道,http://124.112.241.231:4022/rtp/238.1.78.137:6968
淮北教育频道,http://60.169.112.172:8686/rtp/238.1.78.137:6968
濉溪新闻频道,http://124.112.241.231:4022/rtp/238.1.78.209:7544
濉溪新闻频道,http://60.169.112.172:8686/rtp/238.1.78.209:7544
宿州新闻综合,http://124.112.241.231:4022/rtp/238.1.78.121:6840
宿州新闻综合,http://60.169.112.172:8686/rtp/238.1.78.121:6840
宿州公共频道,http://124.112.241.231:4022/rtp/238.1.78.122:6848
宿州公共频道,http://60.169.112.172:8686/rtp/238.1.78.122:6848
宿州科教频道,http://124.112.241.231:4022/rtp/238.1.78.123:6856
宿州科教频道,http://60.169.112.172:8686/rtp/238.1.78.123:6856
萧县新闻综合,http://124.112.241.231:4022/rtp/238.1.79.46:4480
萧县新闻综合,http://60.169.112.172:8686/rtp/238.1.79.46:4480
泗县新闻频道,http://124.112.241.231:4022/rtp/238.1.78.193:7416
泗县新闻频道,http://60.169.112.172:8686/rtp/238.1.78.193:7416
蚌埠新闻综合,http://124.112.241.231:4022/rtp/238.1.78.180:7312
蚌埠新闻综合,http://60.169.112.172:8686/rtp/238.1.78.180:7312
蚌埠公共频道,http://124.112.241.231:4022/rtp/238.1.78.181:7320
蚌埠公共频道,http://60.169.112.172:8686/rtp/238.1.78.181:7320
五河新闻综合,http://124.112.241.231:4022/rtp/238.1.79.52:4528
五河新闻综合,http://60.169.112.172:8686/rtp/238.1.79.52:4528
固镇新闻综合,http://124.112.241.231:4022/rtp/238.1.79.47:4488
固镇新闻综合,http://60.169.112.172:8686/rtp/238.1.79.47:4488
阜阳新闻综合,http://124.112.241.231:4022/rtp/238.1.78.124:6864
阜阳新闻综合,http://60.169.112.172:8686/rtp/238.1.78.124:6864
阜阳公共频道,http://124.112.241.231:4022/rtp/238.1.78.125:6872
阜阳公共频道,http://60.169.112.172:8686/rtp/238.1.78.125:6872
阜阳教育频道,http://124.112.241.231:4022/rtp/238.1.78.126:6880
阜阳教育频道,http://60.169.112.172:8686/rtp/238.1.78.126:6880
阜阳都市频道,http://124.112.241.231:4022/rtp/238.1.78.127:6888
阜阳都市频道,http://60.169.112.172:8686/rtp/238.1.78.127:6888
颍上新闻综合,http://124.112.241.231:4022/rtp/238.1.78.194:7424
颍上新闻综合,http://60.169.112.172:8686/rtp/238.1.78.194:7424
界首综合频道,http://124.112.241.231:4022/rtp/238.1.78.195:7432
界首综合频道,http://60.169.112.172:8686/rtp/238.1.78.195:7432
临泉新闻频道,http://124.112.241.231:4022/rtp/238.1.78.29:6160
临泉新闻频道,http://60.169.112.172:8686/rtp/238.1.78.29:6160
阜南新闻综合,http://124.112.241.231:4022/rtp/238.1.79.11:4200
阜南新闻综合,http://60.169.112.172:8686/rtp/238.1.79.11:4200
亳州综合频道,http://124.112.241.231:4022/rtp/238.1.78.128:6896
亳州综合频道,http://60.169.112.172:8686/rtp/238.1.78.128:6896
亳州农村频道,http://124.112.241.231:4022/rtp/238.1.78.129:6904
亳州农村频道,http://60.169.112.172:8686/rtp/238.1.78.129:6904
利辛新闻综合,http://124.112.241.231:4022/rtp/238.1.78.196:7440
利辛新闻综合,http://60.169.112.172:8686/rtp/238.1.78.196:7440
涡阳新闻综合,http://124.112.241.231:4022/rtp/238.1.78.197:7448
涡阳新闻综合,http://60.169.112.172:8686/rtp/238.1.78.197:7448
蒙城新闻频道,http://124.112.241.231:4022/rtp/238.1.79.19:4264
蒙城新闻频道,http://60.169.112.172:8686/rtp/238.1.79.19:4264
山东组播,#genre#
CCTV4,http://144.255.44.182:4022/rtp/239.21.2.152:5002
CCTV4,http://144.255.44.182:4022/rtp/239.21.1.154:5002
CCTV4,http://144.255.44.182:4022/rtp/239.21.1.4:5002
CCTV4,http://144.255.44.182:4022/rtp/239.21.2.29:5002
CCTV4,http://144.255.44.182:4022/rtp/239.21.2.28:5002
山东体育,http://144.255.44.182:4022/rtp/239.21.1.58:5002
山东体育,http://144.255.44.182:4022/rtp/239.21.1.141:5002
山东卫视,http://144.255.44.182:4022/rtp/239.21.1.52:5002
山东卫视,http://144.255.44.182:4022/rtp/239.21.1.87:5002
山东文旅,http://144.255.44.182:4022/rtp/239.21.1.57:5002
山东文旅,http://144.255.44.182:4022/rtp/239.21.1.176:5002
山东新闻,http://144.255.44.182:4022/rtp/239.21.1.54:5002
山东新闻,http://144.255.44.182:4022/rtp/239.21.1.140:5002
山东综艺,http://144.255.44.182:4022/rtp/239.21.1.55:5002
山东综艺,http://144.255.44.182:4022/rtp/239.21.1.177:5002
CCTV1,http://144.255.44.182:4022/rtp/239.21.1.120:5002
CCTV1,http://144.255.44.182:4022/rtp/239.21.1.155:5002
CCTV1,http://144.255.44.182:4022/rtp/239.21.2.2:5002
